BENCH                  EXP                  OBS,              +2sigma,              +1sigma,              -1sigma,        -2sigma
1                  120.0000                 60.3618              231.1676             169.2675            86.0083         64.2188
2                   69.2500                 36.4750              132.5210              97.6814            49.3825         37.0596
3                  169.0000                 83.1423              324.4848             238.3850           121.1284         90.4414
4                  250.0000                122.2949              482.2804             353.6371           179.1840        133.7891
5                  101.5000                 51.7077              194.2365             143.1721            72.7487         54.3184
6                  222.5000                111.2428              429.2296             314.7370           158.9441        118.2031
7                 1019.0000                518.9444             1981.4668            1445.4867           727.9282        541.3438
8                  123.8750                 62.1029              237.0547             174.7334           88.7857         66.2925
9                  109.5000                 54.8196              209.5458             154.4566            78.0849         58.5996
10                 414.0000                211.9582              808.7640             588.9235           294.2271        219.9375
11                 244.5000                123.4060              475.4354             346.8317           174.6599        129.8906
12                 526.0000                259.2287             1016.1513             746.1492           377.0031        281.4922
